repo,node,link,path,title or task,content type,task priority,linktitle,description,weight,lines,word_count,h2_sections,h3_sections,code_blocks,snippets,images,internal_links,external_links,has_admonition,http_status,notes
user-guide,A03-B18,"=HYPERLINK(""https://kubevirt.io/user-guide/cluster_admin/virtual_machines_on_arm64"",""link"")",cluster_admin/virtual_machines_on_Arm64.md,Virtual Machines on Arm64,How-to,,,,,60,246,5,9,0,,0,0,0,,404,
user-guide,A04-B00,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/lifecycle"",""link"")",user_workloads/lifecycle.md,Lifecycle,How-to,,,,,85,404,6,0,0,,0,0,0,,200,
user-guide,A04-B01,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/basic_use"",""link"")",user_workloads/basic_use.md,Basic use,How-to,,,,,20,89,1,0,0,,0,0,0,,200,
user-guide,A04-B02,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/creating_vms"",""link"")",user_workloads/creating_vms.md,Creating VirtualMachines by using virtctl,Reference,,,,,488,1461,9,9,38,shell yaml,0,9,0,yes,200,
user-guide,A04-B03,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/creating_it_pref"",""link"")",user_workloads/creating_it_pref.md,Creating Instance Types and Preferences by using virtctl,How-to,,,,,93,355,2,2,8,shell,0,0,0,,200,
user-guide,A04-B04,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/virtctl_client_tool"",""link"")",user_workloads/virtctl_client_tool.md,Download and Install the virtctl Command Line Interface,How-to,,,,,55,172,2,0,1,,0,0,1,,200,
user-guide,A04-B05,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/accessing_virtual_machines"",""link"")",user_workloads/accessing_virtual_machines.md,Accessing Virtual Machines,How-to,,,,,407,1398,2,6,19,shell yaml,0,4,1,yes,200,
user-guide,A04-B06,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/boot_from_external_source"",""link"")",user_workloads/boot_from_external_source.md,Booting From External Source,How-to,,,,,134,429,2,0,3,dockerfile yaml,0,0,3,,200,
user-guide,A04-B07,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/startup_scripts"",""link"")",user_workloads/startup_scripts.md,Startup Scripts,How-to,,,,,1363,2572,6,11,12,bash yaml,0,1,15,,200,
user-guide,A04-B08,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/windows_virtio_drivers"",""link"")",user_workloads/windows_virtio_drivers.md,Windows virtio drivers,How-to,,,,,154,784,4,2,0,,10,11,3,,200,
user-guide,A04-B09,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/legacy_windows"",""link"")",user_workloads/legacy_windows.md,Running legacy Windows versions,How-to,,,,,38,101,1,0,1,yaml,0,0,0,,200,
user-guide,A04-B10,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/component_monitoring"",""link"")",user_workloads/component_monitoring.md,Component monitoring,Explanation,,,,,145,475,5,1,4,bash yaml,0,0,5,,200,
user-guide,A04-B11,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/guest_agent_information"",""link"")",user_workloads/guest_agent_information.md,Guest Agent information,Reference,,,,,155,369,2,0,5,json yaml,0,0,1,,200,
user-guide,A04-B12,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/guest_operating_system_information"",""link"")",user_workloads/guest_operating_system_information.md,Guest Operating System Information,How-to,,,,,212,287,1,2,6,bash yaml,0,1,2,,200,
user-guide,A04-B13,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/liveness_and_readiness_probes"",""link"")",user_workloads/liveness_and_readiness_probes.md,Liveness and Readiness Probes,How-to,,,,,369,863,6,0,8,bash sh yaml,0,0,2,,200,
user-guide,A04-B14,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/instancetypes"",""link"")",user_workloads/instancetypes.md,Instance types and preferences,Explanation,,,,,720,1773,11,7,20,sh shell yaml,0,10,38,,200,
user-guide,A04-B15,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/deploy_common_instancetypes"",""link"")",user_workloads/deploy_common_instancetypes.md,Deploy common-instancetypes,How-to,,,,,40,165,3,0,3,shell,0,1,8,,200,
user-guide,A04-B16,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/hook-sidecar"",""link"")",user_workloads/hook-sidecar.md,Hook Sidecar Container,Explanation,,,,,166,762,4,3,4,shell yaml,0,2,4,,200,
user-guide,A04-B17,"=HYPERLINK(""https://kubevirt.io/user-guide/user_workloads/presets"",""link"")",user_workloads/presets.md,Presets,How-to,,,,,547,919,8,6,20,console yaml,0,1,2,,200,
